PolicyNumber,CustomerID,ClaimNumber,Age,Gender,CoverageAmount,PremiumAmount,PolicyStartDate,PolicyEndDate,PolicyType,ClaimStatus,ClaimDate,ClaimAmount,Age Group,Active/ Inactive
P1,C1,C1,73,Female,33175.1015625,240.63999938964844,2024-02-13 00:00:00,2025-02-13 00:00:00,Auto,Rejected,NULL,0,Elder,Active
P10,C10,C10,44,Male,88203.3828125,607.4199829101562,2023-08-15 00:00:00,2024-08-15 00:00:00,Travel,Pending,31-10-2023,5118.080078125,Adult,Inactive
P100,C100,C100,23,Male,87942.5,690.52001953125,2023-12-06 00:00:00,2024-12-06 00:00:00,Travel,Settled,19-04-2024,1956.8900146484375,Young Adult,Active
P1000,C1000,C1000,64,Male,57183.25,744.5999755859375,2024-03-28 00:00:00,2025-03-28 00:00:00,Life,Settled,08-02-2025,1684.9200439453125,Elder,Active
P10000,C10000,C10000,44,Male,104709.9921875,210.9600067138672,2023-07-31 00:00:00,2024-07-31 00:00:00,Life,Settled,10-04-2024,2092.75,Adult,Inactive
P1001,C1001,C1001,82,Female,65868.1171875,426.0899963378906,2023-12-03 00:00:00,2024-12-03 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1002,C1002,C1002,54,Male,87955.8203125,619.5399780273438,2023-11-15 00:00:00,2024-11-15 00:00:00,Life,Settled,15-07-2024,1242.1400146484375,Adult,Active
P1003,C1003,C1003,48,Female,65727.8515625,440.80999755859375,2024-02-02 00:00:00,2025-02-02 00:00:00,Home,Pending,30-11-2024,3079.570068359375,Adult,Active
P1004,C1004,C1004,39,Male,102890.0234375,324.1000061035156,2023-11-29 00:00:00,2024-11-29 00:00:00,Home,Rejected,NULL,0,Adult,Active
P1005,C1005,C1005,71,Female,71450.9921875,369.1499938964844,2024-03-22 00:00:00,2025-03-22 00:00:00,Life,Settled,04-12-2024,883.2000122070312,Elder,Active
P1006,C1006,C1006,46,Male,53043.28125,208.6699981689453,2023-09-11 00:00:00,2024-09-11 00:00:00,Travel,Rejected,NULL,0,Adult,Inactive
P1007,C1007,C1007,39,Female,17992.849609375,864.010009765625,2023-11-09 00:00:00,2024-11-09 00:00:00,Life,Settled,14-05-2024,2668.050048828125,Adult,Active
P1008,C1008,C1008,42,Male,36553.109375,528.2899780273438,2023-11-02 00:00:00,2024-11-02 00:00:00,Life,Rejected,NULL,0,Adult,Active
P1009,C1009,C1009,34,Female,18900.369140625,367.1199951171875,2023-08-09 00:00:00,2024-08-09 00:00:00,Travel,Rejected,NULL,0,Adult,Inactive
P101,C101,C101,72,Female,33225.140625,545.3499755859375,2024-06-15 00:00:00,2025-06-15 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1010,C1010,C1010,50,Male,28388.560546875,213.25999450683594,2023-08-16 00:00:00,2024-08-16 00:00:00,Travel,Pending,19-11-2023,4328.7099609375,Adult,Inactive
P1011,C1011,C1011,40,Female,96734.296875,439.9800109863281,2023-11-11 00:00:00,2024-11-11 00:00:00,Travel,Pending,25-07-2024,3991.31005859375,Adult,Active
P1012,C1012,C1012,66,Male,85012.5703125,104.86000061035156,2024-03-29 00:00:00,2025-03-29 00:00:00,Travel,Settled,16-06-2024,3969.5,Elder,Active
P1013,C1013,C1013,85,Female,77351.90625,615.030029296875,2024-01-13 00:00:00,2025-01-13 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1014,C1014,C1014,53,Male,30079.0703125,707.1099853515625,2024-01-20 00:00:00,2025-01-20 00:00:00,Travel,Pending,22-02-2024,3418.679931640625,Adult,Active
P1015,C1015,C1015,29,Female,20841.970703125,116.11000061035156,2023-10-03 00:00:00,2024-10-03 00:00:00,Life,Pending,22-01-2024,2315.2099609375,Adult,Inactive
P1016,C1016,C1016,24,Male,44888.73828125,981.6900024414062,2023-09-25 00:00:00,2024-09-25 00:00:00,Health,Rejected,NULL,0,Young Adult,Inactive
P1017,C1017,C1017,32,Female,23762.16015625,803.1400146484375,2024-07-05 00:00:00,2025-07-05 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1018,C1018,C1018,61,Male,102577.0390625,406.4100036621094,2023-09-24 00:00:00,2024-09-24 00:00:00,Travel,Rejected,NULL,0,Elder,Inactive
P1019,C1019,C1019,19,Female,32892.171875,321.82000732421875,2024-01-14 00:00:00,2025-01-14 00:00:00,Travel,Settled,26-03-2024,3539.840087890625,Young Adult,Active
P102,C102,C102,22,Male,58213.05859375,993.5700073242188,2024-01-21 00:00:00,2025-01-21 00:00:00,Life,Rejected,NULL,0,Young Adult,Active
P1020,C1020,C1020,64,Male,87503.890625,737.8499755859375,2024-05-07 00:00:00,2025-05-07 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1021,C1021,C1021,29,Female,102242.046875,594.6400146484375,2024-03-25 00:00:00,2025-03-25 00:00:00,Travel,Settled,22-04-2024,2618.8701171875,Adult,Active
P1022,C1022,C1022,68,Male,44666.21875,442.57000732421875,2024-02-12 00:00:00,2025-02-12 00:00:00,Life,Settled,08-02-2025,2188.080078125,Elder,Active
P1023,C1023,C1023,45,Female,21260,1071.56005859375,2023-12-02 00:00:00,2024-12-02 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1024,C1024,C1024,26,Male,66863.7421875,228.5,2024-05-21 00:00:00,2025-05-21 00:00:00,Auto,Pending,04-04-2025,2243.110107421875,Adult,Active
P1025,C1025,C1025,36,Female,107525.2265625,353.75,2024-05-02 00:00:00,2025-05-02 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1026,C1026,C1026,52,Male,46944.21875,376.0899963378906,2024-04-06 00:00:00,2025-04-06 00:00:00,Health,Settled,18-09-2024,2494.949951171875,Adult,Active
P1027,C1027,C1027,64,Female,64523.890625,1038.4300537109375,2023-08-01 00:00:00,2024-08-01 00:00:00,Health,Pending,21-10-2023,970.719970703125,Elder,Inactive
P1028,C1028,C1028,51,Male,71319.8984375,335.9599914550781,2023-07-30 00:00:00,2024-07-30 00:00:00,Travel,Rejected,NULL,0,Adult,Inactive
P1029,C1029,C1029,73,Female,59231.76171875,740.0800170898438,2023-12-09 00:00:00,2024-12-09 00:00:00,Health,Pending,19-05-2024,1252.699951171875,Elder,Active
P103,C103,C103,20,Female,26044.73046875,1038.1300048828125,2023-11-15 00:00:00,2024-11-15 00:00:00,Travel,Settled,13-06-2024,4263.2998046875,Young Adult,Active
P1030,C1030,C1030,35,Male,41706.12890625,396.0199890136719,2023-10-13 00:00:00,2024-10-13 00:00:00,Life,Rejected,NULL,0,Adult,Active
P1031,C1031,C1031,31,Female,81807.890625,1044.6500244140625,2023-10-07 00:00:00,2024-10-07 00:00:00,Travel,Pending,02-03-2024,4824.9599609375,Adult,Inactive
P1032,C1032,C1032,35,Male,18366.970703125,568.6599731445312,2023-11-20 00:00:00,2024-11-20 00:00:00,Auto,Rejected,NULL,0,Adult,Active
P1033,C1033,C1033,52,Female,66091.5234375,115.88999938964844,2023-11-12 00:00:00,2024-11-12 00:00:00,Auto,Rejected,NULL,0,Adult,Active
P1034,C1034,C1034,83,Male,73390.203125,745.5700073242188,2023-11-05 00:00:00,2024-11-05 00:00:00,Life,Settled,19-07-2024,5477.8701171875,Elder,Active
P1035,C1035,C1035,65,Female,29652.55078125,1049.8199462890625,2023-08-15 00:00:00,2024-08-15 00:00:00,Health,Rejected,NULL,0,Elder,Inactive
P1036,C1036,C1036,41,Male,72672.71875,650.3800048828125,2024-04-19 00:00:00,2025-04-19 00:00:00,Travel,Settled,18-10-2024,5062.93994140625,Adult,Active
P1037,C1037,C1037,66,Female,48477.1484375,303,2024-06-10 00:00:00,2025-06-10 00:00:00,Auto,Pending,05-12-2024,5204.97021484375,Elder,Active
P1038,C1038,C1038,32,Male,100529.1484375,655.9600219726562,2023-08-02 00:00:00,2024-08-02 00:00:00,Health,Rejected,NULL,0,Adult,Inactive
P1039,C1039,C1039,79,Female,19637.330078125,701.489990234375,2023-07-30 00:00:00,2024-07-30 00:00:00,Auto,Settled,10-03-2024,2680.85009765625,Elder,Inactive
P104,C104,C104,62,Male,51939.4609375,1013.1199951171875,2024-04-11 00:00:00,2025-04-11 00:00:00,Travel,Pending,08-06-2024,1924.969970703125,Elder,Active
P1040,C1040,C1040,52,Male,20539.189453125,929.8099975585938,2024-04-03 00:00:00,2025-04-03 00:00:00,Travel,Settled,23-01-2025,882.6300048828125,Adult,Active
P1041,C1041,C1041,50,Female,41057.921875,570.7999877929688,2023-10-28 00:00:00,2024-10-28 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1042,C1042,C1042,45,Male,39875.75,439.1600036621094,2024-02-01 00:00:00,2025-02-01 00:00:00,Health,Pending,23-06-2024,3693.75,Adult,Active
P1043,C1043,C1043,76,Female,40477.51953125,226.74000549316406,2024-05-11 00:00:00,2025-05-11 00:00:00,Travel,Settled,04-09-2024,2603.280029296875,Elder,Active
P1044,C1044,C1044,57,Male,48543.75,729.5399780273438,2023-08-05 00:00:00,2024-08-05 00:00:00,Auto,Settled,19-04-2024,2252.43994140625,Adult,Inactive
P1045,C1045,C1045,61,Female,83741.6328125,253.85000610351562,2023-07-22 00:00:00,2024-07-22 00:00:00,Travel,Rejected,NULL,0,Elder,Inactive
P1046,C1046,C1046,35,Male,16461.490234375,1021.0800170898438,2023-12-30 00:00:00,2024-12-30 00:00:00,Health,Settled,28-04-2024,4713.97998046875,Adult,Active
P1047,C1047,C1047,47,Female,39883.98046875,688.530029296875,2023-11-20 00:00:00,2024-11-20 00:00:00,Travel,Pending,30-08-2024,1417.6099853515625,Adult,Active
